aggregate_date,week_label,region,carrier_name,technology_type,sample_count_total,main_signal,download_gap_pct_vs_peer,latency_gap_pct_vs_peer,anomaly_score,method,anomaly_level
2026-03-08,2026-03-08,Assiut,Operator C,LTE,168.0,latency above peer,-67.4604182740993,70.64690482488737,1.9827586206896552,Cross-sectional peer score,region-carrier-technology-week
2026-03-15,2026-03-15,Assiut,Operator C,LTE,137.0,download below peer,-68.49829633885547,66.7867713512863,1.9741379310344827,Cross-sectional peer score,region-carrier-technology-week
2026-03-01,2026-03-01,Alexandria,Operator C,LTE,180.0,download below peer,-65.18462701170112,57.856224550380304,1.9051724137931034,Cross-sectional peer score,region-carrier-technology-week
2026-03-08,2026-03-08,Ismailia,Operator C,LTE,323.0,latency above peer,-61.67527755988773,69.1163126674661,1.9051724137931034,Cross-sectional peer score,region-carrier-technology-week
2026-03-15,2026-03-15,Giza,Operator C,LTE,3103.0,download below peer,-65.76965175510132,42.32054762098131,1.896551724137931,Cross-sectional peer score,region-carrier-technology-week
2026-03-01,2026-03-01,Ismailia,Operator C,LTE,483.0,latency above peer,-61.89357077302854,64.36972921600113,1.896551724137931,Cross-sectional peer score,region-carrier-technology-week
2026-03-01,2026-03-01,Assiut,Operator C,LTE,176.0,latency above peer,-52.02601672991231,83.96376932025927,1.8706896551724137,Cross-sectional peer score,region-carrier-technology-week
2026-03-08,2026-03-08,Giza,Operator C,LTE,3113.0,download below peer,-65.26821659698244,40.167333876168456,1.8706896551724137,Cross-sectional peer score,region-carrier-technology-week
2026-03-01,2026-03-01,Monufia,Operator C,Multi-RAT,85.0,download below peer,-52.71100622212797,37.68760636330003,1.8547008547008548,Cross-sectional peer score,region-carrier-technology-week
2026-03-15,2026-03-15,Gharbia,Operator C,LTE,159.0,latency above peer,-56.64264870690361,63.214965408543804,1.853448275862069,Cross-sectional peer score,region-carrier-technology-week
2026-03-01,2026-03-01,Cairo,Operator B,Multi-RAT,10404.0,download below peer,-51.19943088846475,34.152553317454476,1.8376068376068375,Cross-sectional peer score,region-carrier-technology-week
2026-03-01,2026-03-01,Giza,Operator C,LTE,3231.0,download below peer,-66.12814914651426,33.34431573961771,1.8362068965517242,Cross-sectional peer score,region-carrier-technology-week
2026-03-08,2026-03-08,Monufia,Operator C,Multi-RAT,102.0,download below peer,-65.36696371940022,22.467537994674213,1.8290598290598292,Cross-sectional peer score,region-carrier-technology-week
2026-03-15,2026-03-15,Assiut,Operator C,5G,133.0,latency above peer,-24.69744490736887,67.86867410928964,1.8181818181818183,Cross-sectional peer score,region-carrier-technology-week
2026-03-15,2026-03-15,Ismailia,Operator C,LTE,374.0,latency above peer,-51.12646999177382,57.4576355551219,1.8017241379310345,Cross-sectional peer score,region-carrier-technology-week
2026-03-15,2026-03-15,Dakahlia,Operator B,Multi-RAT,35859.0,latency above peer,-37.507717507816615,46.828614715523095,1.7863247863247864,Cross-sectional peer score,region-carrier-technology-week
2026-03-08,2026-03-08,Dakahlia,Operator B,Multi-RAT,33137.0,latency above peer,-38.028914559936226,44.31900605589314,1.7606837606837606,Cross-sectional peer score,region-carrier-technology-week
