week_label,region,median_download_kbps,rank
2026-03-01,Port Said,194952.3658827372,1.0
2026-03-01,Gharbia,190226.97702799714,2.0
2026-03-01,Assiut,166339.6717605858,3.0
2026-03-01,Alexandria,165170.5547275268,4.0
2026-03-01,Giza,156870.5254846391,5.0
2026-03-01,Ismailia,142906.48162737375,6.0
2026-03-01,Minya,129038.11231101512,7.0
2026-03-01,Monufia,126829.47349823322,8.0
2026-03-01,Dakahlia,110374.88565820032,9.0
2026-03-01,Cairo,104008.77053780683,10.0
2026-03-01,Sharqia,51716.90762318011,11.0
2026-03-01,Fayoum,50371.434369394694,12.0
2026-03-01,Sohag,44312.21482677263,13.0
2026-03-08,Gharbia,205859.5432565168,1.0
2026-03-08,Assiut,192640.49201378014,2.0
2026-03-08,Port Said,180633.31496497878,3.0
2026-03-08,Giza,146958.36493155645,4.0
2026-03-08,Alexandria,143817.57233482902,5.0
2026-03-08,Ismailia,143228.61130699088,6.0
2026-03-08,Monufia,139230.2952720785,7.0
2026-03-08,Minya,129350.63670726586,8.0
2026-03-08,Cairo,113799.04115847903,9.0
2026-03-08,Dakahlia,98254.93132864329,10.0
2026-03-08,Fayoum,53232.79115820011,11.0
2026-03-08,Sharqia,51639.538027739676,12.0
2026-03-08,Sohag,42812.47065846267,13.0
2026-03-15,Port Said,180727.05299007054,1.0
2026-03-15,Gharbia,178502.7287275566,2.0
2026-03-15,Assiut,164623.57487216947,3.0
2026-03-15,Giza,142923.8440200725,4.0
2026-03-15,Ismailia,141737.70290418772,5.0
2026-03-15,Alexandria,137736.5006122092,6.0
2026-03-15,Monufia,120697.1943378119,7.0
2026-03-15,Cairo,116588.30992327796,8.0
2026-03-15,Minya,112586.00272753373,9.0
2026-03-15,Dakahlia,92040.3024833089,10.0
2026-03-15,Fayoum,58419.16242003687,11.0
2026-03-15,Sharqia,54364.90819672131,12.0
2026-03-15,Sohag,46900.850072973335,13.0
